objectid,zipcode,Shape__Area,Shape__Length,zip_code,cases,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
1,48219,0.00239455795508547,0.212556577584729,48219,772,48184,47754,2848,43882,236,44587,430,2.4784428021234515,2.3,22142,26042,10550,7377,2755,38.3,15657.0,32.9,33029.0,51314,0.4215810004589261,0.15310061431180474,0.05910675742985223,0.9408932425701477,0.9107172505395982,0.00892412419060269,16.021915988709946
3,48223,0.00168694287276594,0.177749396553,48223,297,24632,24296,2066,21446,111,22005,336,2.4952432212856706,2.3,11678,12954,4856,3504,957,36.7,7508.0,30.7,35562.0,53956,0.4498879282740954,0.14225397856446897,0.0838746346216304,0.9161253653783696,0.870656057161416,0.013640792465086067,12.057486196817148
5,48228,0.00248697343226922,0.268732018912541,48228,627,55737,52594,8890,41902,37,42456,3143,2.88068673760706,4.3,26832,28905,8120,5621,1931,29.9,22922.0,41.6,26269.0,39710,0.4729006356641017,0.10084862837971185,0.15949907601772612,0.8405009239822738,0.7517806842851248,0.05638983081256616,11.249259917110717
6,48235,0.00175292872972932,0.169503267959447,48235,915,44753,44320,586,43129,45,43457,433,2.4862417582417584,2.4,20079,24674,10769,7947,3994,39.2,13683.0,31.1,31759.0,49848,0.4299837486457205,0.17757468773043147,0.01309409425066476,0.9869059057493352,0.9637119299264854,0.009675329028221573,20.44555672245436
7,48227,0.00211485777640519,0.184180951492168,48227,584,41777,41582,669,39967,25,40662,195,2.7046301832835047,2.2,19464,22313,8414,5929,2180,34.1,14579.0,35.1,29250.0,43053,0.506073500967118,0.14192019532278527,0.016013595997797832,0.9839864040022022,0.9566747253273332,0.004667640089044211,13.978983651291381
8,48221,0.00144759630347835,0.168018151419376,48221,615,41821,41492,2321,37650,314,38647,329,2.6590805872756933,1.3,18902,22919,9828,7354,3559,38.9,9205.0,22.5,41297.0,67923,0.3764550431007362,0.1758446713373664,0.055498433801200356,0.9445015661987997,0.9002654168958178,0.007866861146314052,14.705530714234476
9,48217,0.000663811091271782,0.123589779902672,48217,87,6887,5831,277,5420,0,5488,1056,2.408909090909091,1.7,3058,3829,1664,1232,705,40.2,2748.0,39.9,26413.0,46717,0.5502248875562219,0.17888775954697256,0.04022070567736315,0.9597792943226369,0.7869899811238565,0.15333236532597647,12.632496006969653
10,48238,0.00152555491990825,0.169406623029739,48238,325,27051,26875,498,25950,56,26277,176,2.6255139186295504,1.4,12747,14304,5885,3956,1985,37.4,11203.0,41.6,24280.0,43037,0.4715362620223551,0.14624228309489481,0.018409670622158147,0.9815903293778419,0.959299101696795,0.006506228974899264,12.014343277512847
11,48204,0.00143428397473144,0.160061643219893,48204,354,24524,23847,498,23026,12,23342,677,2.5551945464079706,1.7999999999999998,11150,13374,5181,3768,1867,37.6,10287.0,42.2,24362.0,40103,0.4387781516955734,0.15364540857935083,0.02030663839504159,0.9796933616049585,0.9389169792855978,0.027605610830207145,14.434839341053662
12,48210,0.00141103572741486,0.158686386722731,48210,175,29930,13610,7753,4982,13,6115,16320,3.3307490803700817,6.300000000000002,15351,14579,3565,2140,854,28.3,12114.0,40.7,29007.0,41810,0.5145078287528742,0.07150016705646509,0.25903775476110924,0.7409622452388908,0.1664550618108921,0.5452723020380889,5.846976277981958
13,48209,0.00198465411153848,0.203375508577431,48209,183,32620,9968,6475,2775,1,3283,22652,3.272899758939333,5.7,16014,16606,3497,2345,918,28.9,14349.0,44.0,27418.0,40890,0.4992309171313209,0.07188841201716738,0.1984978540772532,0.8015021459227468,0.08507050889025138,0.6944206008583691,5.610055180870632
14,48203,0.00239420518914812,0.214614747406485,48203,142,22939,22487,1648,20119,47,20629,452,2.2512759073905566,0.5,11261,11678,5322,3735,1483,39.5,8626.0,38.2,21013.0,47115,0.411576901721266,0.16282313963119577,0.07184271328305505,0.928157286716945,0.8770652600374907,0.019704433497536946,6.190330877544793
15,48206,0.000914144234002379,0.12380234455254,48206,242,15745,15409,873,14011,75,14429,336,2.409195882920553,1.0,7291,8454,3470,2480,1058,39.3,6414.0,41.2,22308.0,53416,0.43874365977370267,0.15751032073674182,0.05544617338837726,0.9445538266116227,0.8898697999364877,0.021340107970784377,15.369958717053033
16,48208,0.000833297430290258,0.118625581694953,48208,158,9196,8613,1544,6634,105,7008,583,2.122384784198976,3.1,4526,4670,1772,1176,545,34.7,3860.0,42.5,21070.0,49980,0.35267857142857145,0.12788168769030014,0.16789908655937363,0.8321009134406263,0.7214006089604176,0.06339712918660287,17.181383210091344
17,48202,0.000975958637809526,0.140343037409598,48202,219,16049,15701,3799,10676,681,11169,348,1.906816976127321,2.3,8171,7878,3455,2014,725,36.7,5659.0,38.7,26164.0,64442,0.3187853107344633,0.1254906847778678,0.23671256776123123,0.7632874322387688,0.6652127858433547,0.021683593993395228,13.645710013084928
18,48216,0.000669940654006496,0.109781351327894,48216,53,5179,3590,1492,1930,60,2049,1589,2.1169224137931035,0.9,2688,2491,922,636,353,36.8,1709.0,33.1,31000.0,55895,0.3347368421052632,0.12280363004441011,0.28808650318594325,0.7119134968140568,0.37265881444294263,0.30681598764240203,10.233635837034177
19,48234,0.00233361976688684,0.288831618690689,48234,432,34156,33909,1303,31859,15,32442,247,2.6866534841414222,2.4000000000000004,16163,17993,6263,4144,1792,34.2,12761.0,37.6,27947.0,46106,0.5316369308764746,0.12132568216418785,0.03814849513994613,0.9618515048600539,0.9327497365031034,0.007231525939805598,12.647851036421127
20,48212,0.00149860533474566,0.171820407761961,48212,113,38161,37624,14876,9572,11355,10153,537,3.412556223970384,7.9,19320,18841,5199,3707,1295,29.8,16900.0,46.0,26435.0,41111,0.5325405604719764,0.0971410602447525,0.3898220696522628,0.6101779303477373,0.2508320012578287,0.01407195828201567,2.9611383349492937
21,48211,0.00126943481404851,0.188956973694884,48211,61,6318,6263,2177,3602,85,3641,55,2.6995530994714083,6.800000000000002,3303,3015,948,530,219,33.1,2379.0,42.2,23507.0,36420,0.4183043234138125,0.08388730610952833,0.344571066793289,0.6554289332067109,0.5701171256726812,0.00870528648306426,9.654954099398543
22,48201,0.000560283070171863,0.0987965230453709,48201,170,15954,15616,3853,9638,1514,9857,338,1.75,4.1,7288,8666,2948,2011,515,30.0,8091.0,53.6,15168.0,35769,0.3050016345210853,0.1260498934436505,0.24150683214240942,0.7584931678575906,0.6041118214867744,0.021185909489783127,10.655634950482638
23,48226,0.000343346674526401,0.0907080167182541,48226,77,6935,6589,2897,2757,718,2894,346,1.3820098887515453,1.6,3980,2955,1092,798,225,32.5,1120.0,19.9,57083.0,145410,0.109782873871676,0.11506849315068493,0.41773612112472963,0.5822638788752703,0.397548666186013,0.04989185291997116,11.10310021629416
24,48207,0.00135602928980916,0.148348436383612,48207,392,21230,21097,3297,17063,340,17298,133,1.7655155482815057,1.7,9175,12055,6376,4486,2090,43.8,7052.0,33.8,29625.0,55772,0.2370502679254912,0.21130475741874705,0.1552991050400377,0.8447008949599624,0.8037211493170042,0.006264719736222327,18.464437117286856
28,48207,0.000429805624207802,0.119180171866378,48207,392,21230,21097,3297,17063,340,17298,133,1.7655155482815057,1.7,9175,12055,6376,4486,2090,43.8,7052.0,33.8,29625.0,55772,0.2370502679254912,0.21130475741874705,0.1552991050400377,0.8447008949599624,0.8037211493170042,0.006264719736222327,18.464437117286856
25,48213,0.00171583898440986,0.202724615594807,48213,321,22795,22631,452,21945,15,22181,164,2.7429912204773093,3.0,11194,11601,5004,3635,1605,38.2,9686.0,43.2,23559.0,40453,0.5502719286013108,0.15946479491116472,0.01982890984865102,0.980171090151349,0.9627111208598377,0.007194560210572494,14.082035534108359
26,48214,0.00171579258062593,0.178092233540217,48214,371,21086,20754,2924,17370,79,17674,332,2.0792557620062952,2.2,9842,11244,6016,4105,1749,44.2,6814.0,33.3,28961.0,60913,0.3391612666585157,0.1946789338897847,0.13867020772076258,0.8613297922792374,0.823769325618894,0.015745044105093427,17.594612539125485
27,48205,0.00177230643726034,0.197385591635115,48205,482,33953,33877,1227,31804,271,32199,76,2.6,1.0,15863,18090,4247,2744,892,30.5,9080.0,27.4,36307.0,39404,0.4430992736077482,0.08081760080110742,0.03613819102877507,0.963861808971225,0.936706623862398,0.002238388360380526,14.196094601360704
29,48215,0.000871837024078559,0.136715679033556,48215,152,11979,11816,858,10740,26,10929,163,2.4226271705822264,4.0,5827,6152,2673,1775,727,39.3,5009.0,42.0,22721.0,51849,0.4711692471970101,0.14817597462225562,0.07162534435261708,0.9283746556473829,0.8965689957425494,0.013607145838550798,12.688872193004423
30,48224,0.00164687668211627,0.158927305280776,48224,580,41973,41701,3163,37665,58,38214,272,2.9265587614356083,2.8000000000000003,19564,22409,6243,3917,1399,31.2,15441.0,37.2,32817.0,47751,0.4626174588043034,0.09332189741023991,0.07535796821766373,0.9246420317823363,0.8973625902365806,0.0064803564196030785,13.818407071212446
