OBJECTID,ZIP_CODE,PO_NAME,cases,Negative,Probable,Additional_Tracking,Positive_Redacted,Negative_Redacted,Shape__Area,Shape__Length,zip_code,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
1384,19102,Philadelphia,36.0,147.0,0.0,,,,4.70115094231005e-05,0.0435335605077155,19102,4937,4678,3583,220,809,220,259,1.5316118200134317,1.0,2505,2432,1096,907,416,31.8,653.0,14.3,90750.0,223116,0.046250412950115616,0.1837148065626899,0.7257443791776382,0.27425562082236177,0.044561474579704274,0.05246100870974276,7.291877658497063
1385,19103,Philadelphia,150.0,421.0,0.0,,,,0.000194212713722663,0.0746055342143471,19103,24219,22842,17468,1499,2840,2044,1377,1.5683678876598,1.8,10699,13520,6390,5231,2257,35.9,2098.0,8.8,73611.0,219188,0.05850091407678245,0.21598744787150584,0.7212519096577068,0.2787480903422932,0.061893554647177836,0.056856187290969896,6.19348445435402
1386,19104,Philadelphia,197.0,649.0,0.0,,,,0.000860333011814873,0.139754505378888,19104,54311,51545,18782,22746,7637,24190,2766,2.419814271749756,4.7,26268,28043,5420,3813,1742,22.8,18259.0,45.3,25865.0,57260,0.23087768769827285,0.07020677210878092,0.34582312975272045,0.6541768702472796,0.4188101857818858,0.05092890942902911,3.627257829905544
1387,19106,Philadelphia,34.0,230.0,0.0,,,,0.000274579978622569,0.0846570120405614,19106,12375,11578,9495,1003,798,1166,797,1.7243810400368154,2.0,6390,5985,3080,2180,921,37.6,851.0,7.5,109393.0,228289,0.058236936577582776,0.17616161616161616,0.7672727272727272,0.23272727272727278,0.08105050505050505,0.06440404040404041,2.747474747474748
1388,19107,Philadelphia,119.0,396.0,0.0,,,,0.000145262895557607,0.0588248654374452,19107,13696,12993,7600,1094,3699,1295,703,1.6329724596391262,3.3,6571,7125,2006,1515,710,30.7,2917.0,23.3,53534.0,134247,0.13170613823102947,0.110616238317757,0.5549065420560748,0.4450934579439252,0.07987733644859812,0.05132885514018692,8.688668224299066
1389,19111,Philadelphia,628.0,1264.0,-1.0,,,,0.00157043926037659,0.208608392796776,19111,68263,54814,29834,15765,6907,17680,13449,2.822824905975763,3.6,32308,35955,12453,8908,4207,35.5,11866.0,17.6,48186.0,72090,0.31181844043366946,0.13049529027437998,0.437044958469449,0.562955041530551,0.23094502146111365,0.19701741792772073,9.199712875203257
1390,19112,Philadelphia,0.0,-1.0,0.0,,,,0.000827408263376128,0.157052174844897,19112,0,0,0,0,0,0,0,,,0,0,0,0,0,,0.0,,,,,,,,,,
1392,19114,Philadelphia,249.0,634.0,-1.0,,,,0.00163364658510545,0.203820003142945,19114,31736,28893,23991,3190,1284,3495,2843,2.4122975053895908,1.1,15649,16087,8506,6227,3014,40.9,3149.0,10.0,56781.0,83230,0.22295834699901607,0.19621250315099573,0.7559553819006806,0.24404461809931943,0.10051676329720191,0.08958280816738089,7.845979329468112
1393,19115,Philadelphia,516.0,721.0,0.0,,,,0.00119109353681779,0.19579205939909,19115,34479,31886,23511,3063,4475,3804,2593,2.471204329192998,2.6,16064,18415,10421,8130,4248,43.3,4142.0,12.2,52635.0,95924,0.2700292873413602,0.23579570173148873,0.6818933263725746,0.3181066736274254,0.08883668319846863,0.07520519736651295,14.965631253806665
1394,19116,Philadelphia,398.0,635.0,0.0,,,,0.00142560048834639,0.178359749445571,19116,34912,32704,23286,2086,5849,2368,2208,2.6944606759317757,3.2,16361,18551,9856,7042,3366,43.6,4672.0,13.6,55123.0,87452,0.3206343419613562,0.2017071494042163,0.6669912923923006,0.3330087076076994,0.059750229147571034,0.06324472960586618,11.400091659028414
1395,19118,Philadelphia,108.0,208.0,0.0,,,,0.000971900549984639,0.177551335464204,19118,10919,10163,7149,2064,580,2205,756,2.2082480270574973,0.8999999999999999,4929,5990,2931,2229,857,44.0,664.0,6.6,85437.0,191557,0.11355311355311355,0.20413957322099094,0.6547302866562872,0.3452697133437128,0.18902829929480722,0.06923710962542358,9.891015660774796
1396,19119,Philadelphia,259.0,586.0,0.0,,,,0.00091425266123224,0.147053080376508,19119,29391,28536,9199,17024,567,18392,855,2.3912078792958926,0.7,13355,16036,8177,5897,2641,43.2,2959.0,10.4,61297.0,128789,0.1471700858431544,0.2006396515940254,0.3129869687999728,0.6870130312000272,0.5792249328025586,0.02909053791977136,8.8122214283284
1397,19120,Philadelphia,567.0,995.0,-1.0,,,,0.000885597443357256,0.160237802613624,19120,74971,51880,4526,37485,8273,40832,23091,3.225840730845471,3.6,35855,39116,8953,5500,1884,30.2,21719.0,29.1,37891.0,53407,0.4037167679142988,0.07336169985727815,0.06037000973709834,0.9396299902629016,0.49999333075455843,0.30799909298261996,7.56292433074122
1398,19121,Philadelphia,246.0,607.0,0.0,,,,0.000742120554150461,0.132664427141338,19121,30733,28787,4097,22948,1190,23940,1946,2.478482470784641,1.3,13608,17125,4960,3158,1622,27.2,14551.0,48.7,19668.0,41790,0.3874953548866593,0.10275599518432955,0.13330947190316597,0.866690528096834,0.7466892265642794,0.063319558780464,8.004425210685582
1399,19122,Philadelphia,129.0,356.0,0.0,,,,0.000350844447893905,0.0774042374601577,19122,22187,16035,6148,8014,1336,9216,6152,2.8139661798616453,3.9,11132,11055,2959,2035,902,26.8,6227.0,33.8,35828.0,61957,0.3194239709717655,0.0917203767972236,0.27709920223554335,0.7229007977644566,0.36120250597196557,0.2772794879884617,5.814215531617614
1400,19123,Philadelphia,158.0,395.0,0.0,,,,0.000396886536691454,0.0967742189336268,19123,15681,14055,7575,4579,1190,5152,1626,2.0131626546083257,1.9,7876,7805,2622,1902,670,32.5,2991.0,19.4,73730.0,129691,0.12247037852574184,0.12129328486703654,0.48306868184427015,0.5169313181557298,0.2920094381735859,0.10369236655825521,10.075888017345832
1401,19124,Philadelphia,509.0,986.0,0.0,,,,0.00139331031618894,0.215886756536108,19124,68965,40362,9692,25538,3394,29418,28603,3.0249622799664717,3.0,32749,36216,8737,5538,1725,31.0,23531.0,34.3,33427.0,51350,0.3606271777003484,0.08030160226201696,0.1405350540129051,0.8594649459870949,0.3703037772783296,0.4147466105995795,7.380555354165156
1402,19125,Philadelphia,129.0,445.0,0.0,,,,0.000449056757133803,0.094899335394669,19125,24674,21350,18439,971,1472,1316,3324,2.418973192204966,2.2,12739,11935,3309,2050,835,33.0,4314.0,17.5,65218.0,85058,0.1781985242934707,0.0830834076355678,0.7473048553132853,0.2526951446867147,0.03935316527518846,0.13471670584420847,5.22817540731134
1403,19126,Philadelphia,271.0,379.0,0.0,,,,0.000325066984032674,0.0829318301679001,19126,15863,15094,852,12931,590,13907,769,2.60898495590524,1.2,7548,8315,3901,2809,1335,39.3,3821.0,25.3,41266.0,69133,0.3328168577626278,0.17707873668284688,0.053709890941183884,0.9462901090588162,0.8151673706108554,0.04847758935888546,17.083779865094876
1404,19127,Philadelphia,18.0,109.0,-1.0,,,,0.000208087715009242,0.114162652922559,19127,6082,5763,4943,569,83,674,319,2.3939976275207595,0.7,3376,2706,617,415,142,27.8,1383.0,22.9,73750.0,107969,0.19734771858844685,0.06823413350871424,0.8127260769483723,0.1872739230516277,0.09355475172640579,0.05244985202236106,2.95955277869122
1405,19128,Philadelphia,255.0,682.0,-1.0,,,,0.00179931342267992,0.255951815253586,19128,38309,36691,29456,4663,1082,5695,1618,2.368642643764003,2.2,18261,20048,7895,5764,2524,34.7,3752.0,9.9,72563.0,108456,0.14851123979754685,0.1504607272442507,0.7689054791302304,0.23109452086976956,0.12172074447257825,0.04223550601686288,6.656399279542666
1406,19129,Philadelphia,71.0,239.0,0.0,,,,0.000556342746222072,0.115845302936338,19129,10640,10259,5525,3797,463,4098,381,2.2101481650330514,0.0,4934,5706,1758,1282,561,34.3,1529.0,15.6,63926.0,117169,0.13774567444985722,0.12048872180451128,0.519266917293233,0.48073308270676696,0.3568609022556391,0.03580827067669173,6.672932330827067
1407,19130,Philadelphia,185.0,655.0,0.0,,,,0.000344839475019398,0.0909084246735073,19130,27410,25812,17881,5036,2009,5521,1598,1.999118843199277,2.4,13171,14239,4554,3309,1376,32.9,3388.0,12.6,82632.0,162119,0.10145989515810834,0.12072236410069317,0.6523531557825611,0.34764684421743886,0.18372856621670924,0.05829989055089384,6.7493615468807
1408,19131,Philadelphia,496.0,1002.0,0.0,,,,0.00143079137637869,0.19704511882832,19131,44972,43530,4808,36153,1563,37130,1442,2.424931789521953,2.0,19328,25644,9870,7265,3755,34.3,13874.0,33.0,34844.0,55568,0.2900570741964554,0.1615449613092591,0.10691096682380148,0.8930890331761985,0.8039002045717335,0.03206439562394379,11.029084763853064
1409,19132,Philadelphia,374.0,690.0,0.0,,,,0.00061530565517387,0.120128503954141,19132,32196,31168,1027,29159,368,30160,1028,2.3089619075312595,1.8,14847,17349,6696,4428,2094,37.2,12574.0,39.4,20955.0,43158,0.4082167832167832,0.13753261274692508,0.03189837246862964,0.9681016275313703,0.9056715119890669,0.031929432227605914,11.616349857125108
1410,19133,Philadelphia,219.0,368.0,0.0,,,,0.000340211737011487,0.0792442501446896,19133,27419,11328,970,9524,339,10915,16091,3.0475390142584486,5.9,13391,14028,4218,2589,1040,33.3,14071.0,51.7,19130.0,38981,0.44147253379350015,0.09442357489332215,0.0353769284073088,0.9646230715926912,0.3473503774754732,0.5868558298989751,7.98716218680477
1411,19134,Philadelphia,353.0,840.0,0.0,,,,0.00115010813533445,0.175736899317322,19134,61509,33087,21554,9701,962,12399,28422,3.06509026727181,6.0,29598,31911,7664,4820,1815,30.9,25033.0,41.0,28911.0,46705,0.38237983944721066,0.07836251605456113,0.35042026370124696,0.649579736298753,0.1577167568973646,0.4620787201872897,5.738997545074704
1412,19135,Philadelphia,243.0,603.0,0.0,,,,0.000810741815257643,0.160446017954946,19135,35302,27037,16012,8548,1605,9652,8265,2.9472616157388027,2.4,16978,18324,5272,3407,1564,31.9,7540.0,21.4,44779.0,65488,0.3603021978021978,0.09651011274148774,0.4535720355787208,0.5464279644212793,0.24213925556625687,0.2341227125941873,6.883462693331823
1413,19136,Philadelphia,485.0,724.0,0.0,,,,0.00151298476089323,0.198692961843373,19136,34470,29484,21972,5284,1032,6275,4986,2.5510578905630448,1.4,17838,16632,6810,4478,1699,35.8,5959.0,18.4,48576.0,72246,0.2707846883181207,0.12991006672468813,0.6374238468233246,0.36257615317667535,0.15329271830577312,0.14464751958224542,14.070205976211197
1414,19137,Philadelphia,25.0,153.0,0.0,,,,0.000663370754409698,0.16437375154137,19137,8482,7756,7496,198,0,301,726,2.76640065681445,1.1,4442,4040,1415,978,380,37.2,1579.0,18.7,54006.0,76838,0.27213822894168466,0.11530299457675076,0.8837538316434803,0.11624616835651969,0.02334355104928083,0.08559302051402971,2.9474180617778827
1415,19138,Philadelphia,283.0,677.0,0.0,,,,0.000472068113822388,0.110781793116921,19138,32399,31858,827,29675,185,30741,541,2.78185106758426,0.9,14614,17785,7598,5655,2454,38.5,7038.0,22.1,39851.0,63859,0.4069243906225741,0.17454242414889348,0.02552547918145622,0.9744745208185438,0.9159233309670052,0.016698046235994937,8.734837494984413
1416,19139,Philadelphia,461.0,838.0,0.0,,,,0.0005535501175018,0.148477105206417,19139,44870,43595,2540,39043,1157,40271,1275,2.6284161509343265,2.4000000000000004,20080,24790,8398,5840,2360,33.3,16050.0,36.5,28505.0,42736,0.3821036889332004,0.1301537775796746,0.05660797860485848,0.9433920213951416,0.8701359482950747,0.028415422331178962,10.274125250724316
1417,19140,Philadelphia,438.0,873.0,0.0,,,,0.000863898166926447,0.133314599474395,19140,51667,30139,1555,27123,567,30595,21528,2.7585486754428734,3.0,24630,27037,8775,5992,2562,33.0,21442.0,42.0,21665.0,43104,0.4123382711419464,0.11597344533261075,0.030096580022064372,0.9699034199779356,0.5249579034973968,0.4166682795594867,8.477364662163469
1418,19141,Philadelphia,222.0,561.0,0.0,,,,0.000499316195600841,0.110255903631938,19141,34784,33282,1496,29251,1769,29848,1502,2.6364661297963052,2.6,15735,19049,6864,4991,2130,33.2,9350.0,28.0,31018.0,54703,0.3481069042316258,0.1434855105795768,0.043008279668813244,0.9569917203311867,0.8409326126954921,0.043180772769089236,6.382244710211592
1419,19142,Philadelphia,323.0,494.0,0.0,,,,0.000457585485037271,0.100300865848683,19142,28144,27426,1672,23642,1763,24032,718,2.869180615829717,3.6,13003,15141,3749,2295,839,31.0,9273.0,33.1,30431.0,47247,0.4140319180969588,0.08154491188175099,0.059408754974417284,0.9405912450255827,0.840036952814099,0.02551165434906197,11.476691301876066
1420,19143,Philadelphia,496.0,1322.0,0.0,,,,0.000884284874928198,0.154470572388319,19143,65247,62916,7578,51762,1580,53916,2331,2.5344166535988712,1.9,29771,35476,12693,9118,4088,33.9,19859.0,30.6,33351.0,59220,0.2922826213479223,0.1397458886998636,0.11614327095498643,0.8838567290450136,0.7933238309807348,0.035725780495654974,7.601882078869526
1421,19144,Philadelphia,400.0,827.0,0.0,,,,0.00102497457214668,0.162281703715576,19144,42556,40886,6883,31729,893,33419,1670,2.3019459644322846,2.4,19224,23332,9282,6195,2817,36.1,12302.0,29.8,33786.0,64441,0.2691724057429672,0.1455728921891155,0.16173982517153868,0.8382601748284613,0.7455822915687564,0.03924241000093994,9.399379640943698
1422,19145,Philadelphia,332.0,991.0,0.0,,,,0.00147441298804551,0.205222490415168,19145,46623,43709,22580,13964,6289,14975,2914,2.54,1.9,22138,24485,10397,7630,3205,37.6,9889.0,21.4,42009.0,73385,0.3079226272515565,0.16365313257405142,0.48431031894129506,0.5156896810587049,0.29950882611586555,0.06250134054007679,7.120948887887953
1423,19146,Philadelphia,263.0,913.0,0.0,,,,0.000503486892966976,0.123225871215403,19146,38873,37074,17339,16588,1691,17516,1799,2.2629946366476097,1.7000000000000002,18649,20224,6353,4693,1928,33.9,6753.0,17.5,63524.0,121920,0.1852748960285179,0.12072646824273918,0.44604224011524707,0.5539577598847529,0.4267229182208731,0.0462789082396522,6.765621382450544
1424,19147,Philadelphia,183.0,727.0,0.0,,,,0.000443083822119661,0.100188747318299,19147,39060,35524,25920,3509,4936,4047,3536,2.2762409977164944,2.2,19231,19829,6033,4245,1630,34.9,4350.0,11.2,77695.0,138960,0.16227112380312447,0.108678955453149,0.663594470046083,0.33640552995391704,0.08983614951356887,0.09052739375320021,4.685099846390169
1425,19148,Philadelphia,347.0,956.0,0.0,,,,0.00136581003175706,0.148785324705782,19148,52594,45065,29439,2590,11704,3636,7529,2.667281998980112,5.6000000000000005,25803,26791,10563,7696,3986,36.2,11695.0,22.3,52584.0,74256,0.3022365745724196,0.14632847853367303,0.5597406548275469,0.44025934517245313,0.04924516104498612,0.14315321139293455,6.597710765486558
1426,19149,Philadelphia,412.0,772.0,0.0,,,,0.000643797798602463,0.133673628543125,19149,59633,46309,20370,14530,9161,18498,13324,3.1412696569920837,2.8,28992,30641,8554,6066,2100,32.9,13108.0,22.1,45126.0,58732,0.38701914176755897,0.10172220079486191,0.34158938842587155,0.6584106115741284,0.2436570355340164,0.22343333389230796,6.908926265658277
1427,19150,Philadelphia,289.0,605.0,0.0,,,,0.00041034224818759,0.0925781879561517,19150,22492,22175,538,21046,145,21543,317,2.3564872788189715,0.7,9240,13252,7073,5243,1633,45.4,2823.0,12.6,46150.0,70363,0.24976911236531554,0.23310510403699092,0.023919615863418103,0.9760803841365819,0.9357104748354971,0.014093900053352303,12.84901298239374
1428,19151,Philadelphia,349.0,703.0,0.0,,,,0.000587754442676669,0.125387905487551,19151,33174,31829,2150,28886,235,29607,1345,2.755879485671065,2.2,14853,18321,5768,3813,1545,34.9,6029.0,18.3,48369.0,73945,0.2798913043478261,0.11493941038162417,0.06480979080002411,0.9351902091999759,0.8707421474648821,0.04054379936094532,10.520286971724845
1429,19152,Philadelphia,328.0,622.0,0.0,,,,0.000852024896857984,0.160955331895431,19152,37067,32276,19798,5480,5551,6132,4791,2.7281547709633243,4.3,18100,18967,9575,6938,3415,40.7,5177.0,14.4,52696.0,75594,0.30815655811174186,0.1871745757682035,0.5341139018534006,0.4658860981465994,0.14784039711873095,0.12925243478026277,8.848841287398495
1430,19153,Philadelphia,110.0,233.0,0.0,,,,0.00378475618231278,0.437941128420539,19153,13190,12273,1589,9661,537,10454,917,2.4199687327570354,1.7000000000000002,6063,7127,2769,1960,890,38.2,2906.0,22.2,42418.0,65132,0.4192374624268312,0.14859742228961334,0.12047005307050795,0.879529946929492,0.7324488248673238,0.06952236542835481,8.339651250947687
1431,19154,Philadelphia,252.0,746.0,0.0,,,,0.00171217977958804,0.217348450071717,19154,34253,31434,26708,2903,1353,3196,2819,2.7284854337679056,1.6,16730,17523,7585,5417,2403,39.1,2763.0,8.1,65082.0,93803,0.2506464503996239,0.1581467316731381,0.7797273231541763,0.22027267684582374,0.084751700580971,0.08229936063994395,7.35701982308119
